utterance,feeling,painting,genre
look what has happened to dear old kitty!,sadness,walter-battiss_man-with-cat,Pop_Art
i love this style of artwork because it takes a great artist to produce it but also once completed provokes the audience to imagine how it would look in real life.,contentment,camille-pissarro_church-at-kew-1892,Impressionism
"this looks like a crisp, cool fall scene overlooking a lake or ocean.  even though i can't make out any real details, it would be interesting to explore the nature in the area.",contentment,gustave-loiseau_the-red-rocks,Post_Impressionism
the woman looks mighty and strong to me because of how bold she is.,awe,francesco-hayez_ruth-1835,Romanticism
again this painting is dill its lifeless and no color.,something else,sean-scully_wait-1986,Color_Field_Painting
the detail added to her dress detracts from her eyebrows,contentment,francisco-goya_la-tirana-1799,Romanticism
the primary colors and the lively dots and lines make this look like a circus.,amusement,sam-francis_untitled-1964-1,Color_Field_Painting
the girl wearing the white dress is reading to the other girl,something else,gwen-john_interior-with-figures-1899,Post_Impressionism
"i like the yellow sky and the fiddler on the roof, but the corpse on the ground is sad.",sadness,marc-chagall_the-deceased-the-death-1908,Naive_Art_Primitivism
the detail in the yellow pieces is incredible and so colorful.,awe,gustav-klimt_hygeia-detail-of-medicine-1907,Art_Nouveau_Modern
"i like the subject of the painting, but it is way too muddy and hard on the eyes. it makes me a little annoyed looking at all of it.",something else,gustave-loiseau_the-quay-at-pont-aven,Post_Impressionism
"spiritual and powerful, the reds and yellows go very well against the black background",awe,francesco-solimena_aurora-roman-goddess-of-the-dawn-bids-goodbye-to-her-lover-tithonus-aurora-is-about-to,Baroque
the lighting contrast from the outside darkness to the brightness in life like,contentment,francisco-goya_hanibal-vencedor-contempla-italia-desde-los-alpes,Romanticism
this painting makes me feel relaxed as it is reminiscent of a small fishing village you typically visit on holiday,contentment,camille-pissarro_boats-at-dock,Impressionism
the painting is a live party in affect. this painting represents happiness..,amusement,miriam-schapiro_pas-de-deux-1986,Cubism
"the figures, although seemingly innocent, are somewhat distorted, giving them a menacing air",fear,marc-chagall_the-antilopa-passengers-1969,Naive_Art_Primitivism
there is an uncomfortable mixture of death and sexuality in the poses,disgust,egon-schiele_two-girls-lying-entwined-1915,Expressionism
the woman seems to be trying to get dressed and can't close the back of her dress herself.,amusement,egon-schiele_standing-girl-in-a-blue-dress-and-green-stockings-back-view-1913,Expressionism
"the woman laying in bed looks so peaceful and contented, and it makes me feel the same.",contentment,henri-de-toulouse-lautrec_brothel-on-the-rue-des-moulins-rolande-1894,Post_Impressionism
"this is a lovely middle aged woman, reading, the red velvet wrap she is wearing looks as if you could reach out and feel the softness of it.",contentment,maurice-quentin-de-la-tour_madame-rouille-de-l-estangleterre,Rococo
"the sky and the houses look so dark, it looks like the whole town has been abandoned.",sadness,egon-schiele_krumau-1911,Expressionism
he's fixed the faucet you can go in there now.,amusement,henri-de-toulouse-lautrec_craftsman-modern,Art_Nouveau_Modern
the colors used on this person's skin reminds me of bruises which is kind of gross,disgust,egon-schiele_woman-undressing-1914,Expressionism
i feel bored because of the lack of color and unattractive woman.,something else,francisco-goya_gumersinda-goicoechea-goya-s-daughter-in-law-1815,Romanticism
portrait of a bemused older gentleman attired in a white ornate collar. he looks weatherbeaten but kind.,something else,frans-hals_pieter-cornelisz-van-der-morsch-1616,Baroque
the cooling blue goes well with the purple background,contentment,theodoros-stamos_infinity-field-lefkada-series-1980-1(1),Color_Field_Painting
the two people kissing among the foliage is heartwarming.,contentment,konstantin-somov_the-kiss,Symbolism
odd drawing that requires many looks to determine what it is. first appears to be a woman standing on a balcony and then some sort of abstract imagry.,something else,olexandr-archipenko_woman-with-umbrella-1919,Cubism
the white used gives the impression that it has been snowing.,awe,gustave-loiseau_tournedos-sur-seine-1901,Post_Impressionism
the work has a lot of motion and expression and fun.,excitement,marc-chagall_the-circus-with-the-yellow-clown-1967,Naive_Art_Primitivism
this woman looks very content with where she is in life.,contentment,louise-elisabeth-vigee-le-brun_portrait-of-a-lady-1789,Rococo
the green landscapes are warm and inviting in this country setting.,contentment,gwen-john_rue-terre-neuve-meudon,Post_Impressionism
the people in this look like zombies or maybe a mummie resurrected and its kind of scary,fear,gustav-klimt_the-beethoven-frieze-the-longing-for-happiness-left-wall,Art_Nouveau_Modern
i like the theme of the picture and that is about it.,contentment,francisco-de-zurbaran_the-childhood-of-the-virgin,Baroque
"the city looks very still, and the people in the boat look relaxed, like their errand isn't urgent.  the woman in yellow is looking away from the city, like she's starting a journey somewhere else.",contentment,camille-corot_venice-gondola-on-grand-canal,Realism
the young man looks relaxed and it makes me feel a bit more relaxed as well.,contentment,egon-schiele_reclining-boy-leaning-on-his-elbow-1917,Expressionism
the woman appears to be looking towards the sky suggesting that she is hopeful about something,amusement,walter-battiss_woman-with-blue-hair,Pop_Art
the tall ornate buildings are wonderful to look at.  lots of horse drawn carriages in the streets and people dressed up.,awe,camille-pissarro_avenue-de-l-opera-effect-of-snow-1898,Impressionism
"a quiet little town, i love the way the houses are painted pale yellow and blue.",contentment,gustave-loiseau_quay-on-oise-in-pontoise-1906,Post_Impressionism
it's soothing as the bird is gliding looking at the land below.,contentment,konstantin-vasilyev_birth-of-the-danube-3,Symbolism
it does not make me feel anything and it does not remind me of anything either.,something else,sam-francis_sculpture-drawing-sf64-571-1964,Color_Field_Painting
the portrait of the young woman makes me feel calm because she looks happy while she is getting a portrait.,contentment,louise-elisabeth-vigee-le-brun_portrait-of-elisaveta-alexandrovna-demidova-nee-stroganova-1792,Rococo
the blue color is strong and it brings happiness with the yellows,excitement,natalia-goncharova_composition-1914,Cubism
painting reminds me of my wedding and my love,excitement,konstantin-somov_the-kiss,Symbolism
i like that the woman looks rested and content.,contentment,konstantin-somov_natalia-pavlovna,Symbolism
