,Unnamed: 0,image_A_url,image_B_url,image_C_url,target,utterance,utterance_post
15,15,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/1112f253e122dc8273111597f45b8227/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/c6612c884c025a48f647dc544bb0ab61/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/b230c6d9aeca66e52633ff66beb9cf31/image_p020_t337_r005.png,"[0, 0, 1]",This is a square object with 4 circles inside of it,this is a square object with 4 circles inside of it
16,16,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/2a39d5ec8856dba0fcb8d8c6d4df8143/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/2e18c1bd23e4d89dbb6d3a4b6666d91/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/cd389501a749d5b13b080c0097c00a32/image_p020_t337_r005.png,"[0, 0, 1]",Lamp with tripod stand.,lamp with tripod stand
17,17,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/20cd92a6797a9ee12ebeb1e6a8111f53/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/f10af3d00a4c3e89f51f77a6d7299806/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/c226b3469c086c75a1b5ceeca96f6fbc/image_p020_t337_r005.png,"[0, 0, 1]",Desk lamp with cylindrical shades,desk lamp with cylindrical shades
18,18,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/46b8bc4b5b2a6094d46763ec4d902968/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/873aad4a222d541a91c2792fcdc1ca8/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/366a93bce1f6f524eaf14273fa406ffc/image_p020_t337_r005.png,"[0, 0, 1]","Desk lamp with round base, adjustable bar and round light fixture.  Typical ""bankers lamp"".",desk lamp with round base adjustable bar and round light fixture  typical bankers lamp
19,19,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/12d03f06746eb49990c2e24416edfe5b/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/89cb9b2ad175b833cadf6344ec272e8/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/ccd12ea2362ef81d8bb3deb7fab7c9b7/image_p020_t337_r005.png,"[0, 0, 1]","Tall lamp with thin, decorated rod leading up to the shade.",tall lamp with thin decorated rod leading up to the shade
20,20,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/2ed8dcef657845be4a8e02787dff638e/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/d4bbd93c0d85e77d7934a0d24a61231/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/3101d2b22e21297ccff8db9efabb6c62/image_p020_t337_r005.png,"[0, 0, 1]",this object has a round cone sitting on top of a cylinder. Reminds me of a camera flash,this object has a round cone sitting on top of a cylinder reminds me of a camera flash
21,21,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/2ed8dcef657845be4a8e02787dff638e/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/85335cc8e6ac212a3834555ce6c51ffe/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/8c8ab9d274bf85bd7054f829b1ba8eb5/image_p020_t337_r005.png,"[0, 0, 1]",Wavy top.,wavy top
22,22,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/3bd57e05db01e224e7e684d25d4dcaf0/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/4775f35d9b6942081b42cc426459cc26/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/f77e6d8f251887e9fcb8d8c6d4df8143/image_p020_t337_r005.png,"[0, 0, 1]",upside down half sphere,upside down half sphere
23,23,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/a2c9d00ed67862af2c528d33bca1ac2/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/e6dae18d7ffbb7ff952c851f81463faa/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/37f318fc52f4ae333f534d0cf4cbfb4f/image_p020_t337_r005.png,"[0, 0, 1]",looks like a bong,looks like a bong
24,24,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/34e4bfd2000916c6a5f9d52c12457194/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/89ec7ebc49a312184205db2677c7526e/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/2ee70ee71a0b7caeb15194162f658e87/image_p020_t337_r005.png,"[0, 0, 1]",Choose the single lamp that has a cup shape at the very top.,choose the single lamp that has a cup shape at the very top
25,25,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/1833ca8ab16a7b7a43448fccd73e2957/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/6c4c45af95f811e479414e04132a8bef/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/2a52bd01472ec7e1589ec67c01f5c1a7/image_p020_t337_r005.png,"[0, 0, 1]",round base,round base
26,26,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/2e32934d4a49c374b20bab10aa3ece03/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/b4e7c74a6e6685d2339c933a8cb966c/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/947c6753d77d8082290e2f84c414e6be/image_p020_t337_r005.png,"[0, 0, 1]",It is a spherical statue.,it is a spherical statue
27,27,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/2d3c98d5d85f22a127babbd370e736b/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/571137d6378372c5fcb8d8c6d4df8143/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/98ae07e021f3227711d89826bd8e0670/image_p020_t337_r005.png,"[0, 0, 1]",Street light with another long pole under the light.,street light with another long pole under the light
28,28,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/34020466b4342812218c9f1216abefd/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/3c9f0efc08817ab6fcb8d8c6d4df8143/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/206ef4c97f50caa4a570c6c691c987a8/image_p020_t337_r005.png,"[0, 0, 1]",looks like a light bulb,looks like a light bulb
29,29,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/273314626729b1e973222d877df1ecac/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/9e49915157b79d911735ea0e092a805a/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/3a5a0f4c78e17b284f0c4075db76b7c/image_p020_t337_r005.png,"[0, 0, 1]",Target has a cylindrical head for the lamp attachment. The handles also have two skinny bars instead of one singular bar,target has a cylindrical head for the lamp attachment the handles also have two skinny bars instead of one singular bar
30,30,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/357c0ff8a3ddddf5902078d0d905735b/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/69222648c3e3ed986c348bc129690193/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/979867c99d8e0b7a4601feca428b2996/image_p020_t337_r005.png,"[0, 0, 1]",A hanging light with 5 bulbs in a row across the bottom.,a hanging light with 5 bulbs in a row across the bottom
31,31,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/292f1f97a543d735dedf3c967c85981a/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/b736ffab5afcc08ace1d463bed0d7bb4/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/e30444ae7a929b6687d4034dde63c4f7/image_p020_t337_r005.png,"[0, 0, 1]",three lights and hangs from two cords,three lights and hangs from two cords
32,32,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/35bc2c88e20e099db8bed6beeaf025b3/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/fdcee8d924f3a8404d01f72347a40cbf/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/c78f6882973e616d2102429c788ba90/image_p020_t337_r005.png,"[0, 0, 1]",Choose the object that has 3 small circles on the top.,choose the object that has 3 small circles on the top
33,33,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/8010191bdd123581a7e0a9557e913c86/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/b668df78adedbd1735ea0e092a805a/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/1e9a36b3360f23388962005ce0e986db/image_p020_t337_r005.png,"[0, 0, 1]","It has a square base, and a round shaped light at the top.",it has a square base and a round shaped light at the top
34,34,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/53d1324d1e85fd37c35131da26f8061a/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/ec2d7e5e968c3ace7ddffb7902a68a13/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/19171a11ad8bd9d5411a00390d1cd315/image_p020_t337_r005.png,"[0, 0, 1]",A hanging light with many lines on it,a hanging light with many lines on it
35,35,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/185e37856f55b2c4e9aa07397ea1cf8d/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/a6413f422f4ef630fecfeea7038369e1/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/a708a75b3727b12fcb8d8c6d4df8143/image_p020_t337_r005.png,"[0, 0, 1]",A round light with no base,a round light with no base
36,36,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/894cdb80665ba73dbfeb5b5bfc3dfc3b/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/f7b3550d5e59934595bea7c29e873d16/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/3343296bb39a9e679410a04d09c14d1a/image_p020_t337_r005.png,"[0, 0, 1]",The target is almost similar as the other one with a half sphere top but it also has a little lever at its base,the target is almost similar as the other one with a half sphere top but it also has a little lever at its base
37,37,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/913ff6452d0ea43c9d62807daf4a2134/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/e0e365a2927a7a73bafad60030e6ab60/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/2cc1ea376c68da216502fbbc8833905/image_p020_t337_r005.png,"[0, 0, 1]",A ceiling fixture that looks like a balloon,a ceiling fixture that looks like a balloon
38,38,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/2156df35753fc26c6e285dd101afcb51/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/e97ef0ba839e1e915412c66cb6f267da/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/6ea3addd99f0106b77981b941eb4f5d1/image_p020_t337_r005.png,"[0, 0, 1]",this object has a square top,this object has a square top
39,39,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/c93f10431b324061581fd19c35a5c8c/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/de5799693fbddbe3c4560b8f156e749/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/2ac3b0a04514988e8c451c71f65d5dec/image_p020_t337_r005.png,"[0, 0, 1]",It is a lamp with ridges.,it is a lamp with ridges
40,40,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/15fc5a4a342c00525412c66cb6f267da/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/9ea81b2f43dca29c5412c66cb6f267da/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/e97ef0ba839e1e915412c66cb6f267da/image_p020_t337_r005.png,"[0, 0, 1]",a porch light with no knob on the top facing outward,a porch light with no knob on the top facing outward
41,41,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/d90639e69c82f864eb2d9895648d1206/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/fe4ca0ab385784d8df6cfab91d65bb91/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/3607a2301201064ce7c8fa552499fc0e/image_p020_t337_r005.png,"[0, 0, 1]",The one to pick is a replica of Aladdin's lamp,the one to pick is a replica of aladdins lamp
42,42,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/1b35827236954b2bb6436276138aac1/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/8508808961d5a0b2b1f2a89349f43b2/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/2e32934d4a49c374b20bab10aa3ece03/image_p020_t337_r005.png,"[0, 0, 1]",tallest floor lamp with tiny bulb,tallest floor lamp with tiny bulb
43,43,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/86a5fae37549690cfcb8d8c6d4df8143/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/b8c6a482bc4d5da6fcb8d8c6d4df8143/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/31d93627f2fbf86dfcb8d8c6d4df8143/image_p020_t337_r005.png,"[0, 0, 1]","a long, cylindrical ceiling lamp with very tiny embellishments near the top of the lampshade",a long cylindrical ceiling lamp with very tiny embellishments near the top of the lampshade
44,44,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/6aa1ce4e245001589f1a71e46bbde97c/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/bde9b62e181cd4694fb315ce917a9ec2/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/122fb7bfa09c184ca249f8489bc060dd/image_p020_t337_r005.png,"[0, 0, 1]",Symmetrical light,symmetrical light
45,45,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/5489ecdeac5c1cfb38bc5dac9ac556bb/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/6f984fe4627c8333752653a04e5ed7ed/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/399573561336a341b754c9a53619150c/image_p020_t337_r005.png,"[0, 0, 1]",lamp hanging on a chain,lamp hanging on a chain
46,46,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/230efad5abd6b56bfcb8d8c6d4df8143/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/ea71ba1d8d8c8e5888a1de3dc61bfeef/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/f8d4e335655da8855e1d47baa7986b2b/image_p020_t337_r005.png,"[0, 0, 1]",Choose the table lamp with a wide hexagon base.,choose the table lamp with a wide hexagon base
47,47,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/ef45c648fe3b0dde8449e0b8dd14796b/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/f021d7374cb40f0da2ee802ea6ed091/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/42cd4d8cfa141d4d374110224c1c4eb0/image_p020_t337_r005.png,"[0, 0, 1]",It is a lamp with a small circle on top.,it is a lamp with a small circle on top
